road_name,date_time,demonstration,road_id,road_len,rank,congestion_index,speed,travel_time,delay_time
科苑北路,"2022-04-01,10:38:21",从宝深路到科发路-由北向南,30546,2017,1,5.9,5.4,22.2,18.5
凤安路,"2022-04-01,10:38:21",从凤凰大道到华南二道-由东向西,1006599,3070,2,3.8,12.1,15.2,11.2
南海大道,"2022-04-01,10:38:21",从同乐路到兴海大道-由北向南,1000416,9860,3,3.4,15.2,39,27.4
桃花路,"2022-04-01,10:38:21",由东向西,1002269,3071,4,2.8,12.6,14.6,9.3
凤凰山大道,"2022-04-01,10:38:21",由东向西,28100,2482,5,2.5,16,9.3,5.6
福永大道,"2022-04-01,10:38:21",从福凤路到宝安大道-由东向西,1003180,3210,6,2.5,14.6,13.2,8
桂花路,"2022-04-01,10:38:21",由北向南,28714,3727,7,2.5,14.6,15.4,9.1
同乐路,"2022-04-01,10:38:21",从沙河西路到南海大道-由北向南,1003623,4776,8,2.5,23.5,12.2,7.2
北环大道辅路,"2022-04-01,10:38:21",从深南大道到北环大道入口-由西向东,48,8950,9,2.3,20.8,25.8,14.8
创业二路,"2022-04-01,10:38:21",从创业立交到留仙三路-由西向东,1206,3225,10,2.3,18.3,10.6,5.9
